CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	MTOR
MTOR	HIF1A
MTOR	PPARG
PRKCA	PRKACA
PRKACA	GLI2
PRKACA	GLI3
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	JUN
MAPK8	SMAD3
SMAD3	SP1
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PIK3R5	HIF1A
PIK3R5	MTOR
DGKK	PLCE1
PLCE1	PRKACA
RELA	BIRC2
GLI1	WNT7B
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
EGR2	FASLG
IRF3	IFNB1
CREBBP	ALDOA
CREBBP	ANGPT1
EP300	ALDOA
EP300	ANGPT1
MAX	CKS1B
MYC	MMP2
NFKB2	TRAF5
IRF8	IL12B
ATF2	MCL1
PPARA	DBI
PPARA	APOA2
PPARA	ANGPTL4
PPARG	ACSL1
PPARG	PCK1
PPARG	SCD5
MAPK11	IL12B
MYB	TSC22D3
MYBL1	TSC22D3
ATF2	CGA
NFKB1	KLK3
PPARD	LIPA
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
RARB	S100A9
RELA	SAA2
SP1	TAF7
ESR1	TFF1
CEBPA	TK1
CEBPD	TNF
