TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
MAPK8	TP53
AKT3	CREB3
MAPK8	ATF2
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
MAPK8	JUN
RAF1	MAPK1
MAPK1	MYC
MAPK8	FOS
SMAD3	SP1
RAF1	MAPK3
MAPK1	ETS1
SMAD3	CREBBP
SMAD3	EP300
RAF1	NFKB1
NFKB1	HIF1A
HIF1A	ARNT
RAF1	MAPK14
MAPK14	MAX
NFKB1	MYB
ATF2	ATF1
MAPK1	ESR1
MAPK1	ETS2
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
RAF1	RELA
MAPK8	ELK1
ELK1	EGR1
BCL2	TP53
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
TP53	PTEN
PTEN	AKT3
AKT3	ATF2
AKT3	JUN
TP53	TP73
TP73	YAP1
YAP1	MYC
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	MAPK8
YAP1	SMAD2
SMAD2	SP1
TP53	THBS1
THBS1	PTK2
PTK2	MAPK1
PTK2	MAPK3
THBS1	ITGB1
ITGB1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PTEN	PIK3R5
PIK3R5	HIF1A
MAP3K1	MAPK14
MAP3K1	NFKB1
PRKACA	ATF1
MAP3K1	RELA
CREB3L1	NPY
CREB3L1	BDNF
GLI3	WNT4
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
NFKB1	CCL5
MAPK12	IL8
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	XIAP
ELK1	CCND1
JUN	CCND2
ATF6B	IL8
EGR2	FASLG
NFATC2	TNF
CREB3L2	IL8
CREB3L2	PCNA
CREB3L3	IL8
CREBBP	ENO1
CREBBP	ALDOA
CREBBP	LDHA
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	TFRC
EP300	ENO1
EP300	ALDOA
EP300	LDHA
EP300	BCL2
EP300	SLC2A1
EP300	TFRC
HIF1A	ENO1
HIF1A	ALDOA
HIF1A	LDHA
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND3
STAT5B	CCND2
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53AIP1
TP53	RRM2
RXRA	ACADL
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
NFKB1	CEBPB
NFKB1	IL23A
NFYA	LOC100507709
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK10	IL12B
MAPK10	IL18
RFXAP	HLA-DMB
RFXANK	HLA-DMA
NFAT5	PTGS2
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
LEF1	ADA
NFIC	ADA
USF1	APOC3
PPARG	APOE
USF1	APOE
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
ATF2	CGA
ATF4	CGA
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP1	DKC1
SP3	DKC1
SP3	DNASE2
PAX5	FCER2
CEBPA	FN1
E2F1	HIST1H2AM
TFAP2A	HMOX1
STAT1	IL2RA
STAT3	IL2RA
ERG	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
ATF1	PPP2R4
ATF2	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF1	PTPN6
USF2	PTPN6
MYBL2	RBL1
RARA	S100A8
RARB	S100A9
CEBPA	SERPINC1
EGR1	SOD1
SP1	SOD1
MYBL2	SP1
POU2F1	SPP1
SP1	TAF7
POU2F1	TFPI2
EGR1	THBS1
USF1	THBS1
CREB1	TIMP1
STAT1	TIMP1
CEBPA	TK1
POU2F1	TNF
TFAP2A	TNPO1
E2F4	TOP1
MYC	TP53
STAT1	TP53
SP1	TPI1
USF2	TYMS
