KCNQ1	PRKACA
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	NFKB1
NFKB1	HIF1A
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
CREBBP	ARNT
MAPK1	STAT3
MAPK1	STAT1
MAPK1	FOS
MAPK1	SMAD3
MAPK1	SMAD4
PRKACA	MAPK8
MAPK8	JUND
MAPK8	JUNB
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ELK1
NFKB1	CEBPB
MAPK1	ETS2
NFKB1	TP53
MAPK1	ESR1
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
NFKB1	TRAF6
TRAF6	MYD88
MYD88	VDR
PRKACA	RELA
CREB3L1	PDYN
NFKB1	BIRC3
GLI1	WNT16
GLI1	WNT1
GLI1	WNT9A
GLI2	GLI1
ARNTL	PER3
NPAS2	CRY1
JUN	CCND3
NFKB1	MMP9
MAPK8	JUN
CREB3L3	PCNA
CREBBP	NPPA
CREBBP	ANGPT4
CREBBP	TIMP1
EP300	NPPA
EP300	ANGPT4
EP300	TIMP1
HIF1A	NPPA
HIF1A	ANGPT4
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB1	VCAM1
RELA	BCL2A1
RELB	CCL21
PIK3CD	AKT1
EPAS1	TGFB2
EPAS1	TGFB3
MYC	CKS1B
MYC	CKS2
MYC	MMP1
MYC	VEGFB
RELA	CCND1
RELA	TRAF3
RELA	TRAF4
FOXO3	BCL2L11
PPARA	ACSL4
PPARA	ACSBG1
PPARA	ACAA1
PPARA	SCD5
PPARG	GK
PPARG	GK2
PPARG	LPL
RXRA	SLC27A4
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	LOC100507714
USF2	FBP1
EGR1	FCER2
ETS1	FOSL1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CREB1	JUN
JUN	JUN
SP1	KRT5
CREB1	LDHA
ETS1	LYZ
SP1	MAT2B
ATF1	NTS
JUN	NTS
EGR1	RELA
ESR2	SERPINE1
PPARD	SERPINE1
SMAD2	SP1
ETS1	TFRC
ATF1	TG
ETS1	TIMP1
REL	TNFSF10
ETS1	TNNC1
EGR1	TP53
FLI1	UPP1
PAX1	VHL
