CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	PRKD3
PRKD3	ATF1
PRKCE	PPP1CA
PPP1CA	CREB1
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	HIF1A
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
PRKCE	MAPK8
MAPK8	JUN
PRKCE	ARAF
ARAF	MAPK1
MAPK1	ETS1
PRKCE	RAF1
RAF1	NFKB1
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
RAF1	RELA
RUNX1	JUP
RUNX1T1	JUP
NFAT5	TNF
NFKB1	TNF
CREB5	IL8
CREBBP	SERPINE1
CREBBP	VEGFC
EP300	SERPINE1
EP300	VEGFC
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
STAT5A	SOCS4
STAT5B	SOCS5
MAPK13	TNF
RELA	IL1A
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
CREB1	ICAM1
CREM	ICAM1
TP53	RELA
PPARA	SERPINE1
SP1	SPN
JUN	TFRC
JUN	TIMP1
ERG	TNNC1
JUN	TP53
HIF1A	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
