HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
HRAS	JUN
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PDE4A	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
ADCY1	RAPGEF3
RAPGEF3	MAPK14
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	PRKAG2
PRKAG2	MTOR
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	NFKB1
NFKB1	CEBPB
PRKCA	MAPK1
AKT2	JUN
PRKCA	MTOR
PRKCA	PRKACA
MYC	CDK4
RXRB	OLR1
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MYD88	IFNA6
MYD88	IFNA13
NFKB1	IL18
RFXAP	LOC100509457
SP1	CD9
