ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	CREB1
PRKCA	ATF4
PRKCA	ATF2
PRKCA	CREB3
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
MAPK1	SMAD2
SMAD2	E2F4
PRKCA	PRKACA
PRKACA	PPARA
PLCD3	PIK3R5
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PIK3R5	AKT3
AKT3	RELA
PIK3R5	MTOR
MTOR	PPARG
AKT3	NFKB1
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
MAPK1	ESR1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GLI3	WNT4
GLI3	BMP2
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
SOS1	SPRY3
STAT4	SOCS2
STAT5B	SOCS1
STAT3	VEGFB
EPAS1	PGF
FOS	PGF
JUN	MMP2
NFKB2	CCND1
NFKB2	TRAF3
CREB3L2	BCL2
PPARA	SLC27A4
PPARA	CYP8B1
PPARD	ANGPTL4
PPARG	SLC27A4
PPARG	FABP4
RXRA	FABP1
NFYC	HLA-DMA
NFYC	HLA-DQA2
NFAT5	PTGS2
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
USF1	SERPINE1
USF2	XRCC6
USF2	ABCA1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
STAT1	EGFR
ERG	MMP9
PPARA	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
