CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB1
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ETS1
ETS1	SPI1
MAPK1	IFNG
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ELK1
ELK1	EGR1
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	JUN
MAPK8	SMAD3
SMAD3	SP1
PRKCE	PPP1CA
PPP1CA	CREB1
PRKCE	ARAF
ARAF	MAPK14
PRKCE	RAF1
MAPK8	ELK1
ELK1	SPI1
ARAF	MAPK1
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
RUNX1	JUP
RUNX1T1	JUP
STAT3	CPT1C
MAPK11	IL8
RBPJL	FCER2
RXRB	ACAA1
MAPK9	IL12A
MAPK9	IL12B
MYB	TSC22D3
MYBL1	TSC22D3
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
WT1	ABCB1
PPARD	GADD45B
PPARG	GADD45B
CREB1	GH2
NFIC	GH2
CREB1	ICAM1
CREM	ICAM1
MYC	ID2
NFKB1	PPP2R4
CEBPB	PTGS2
