SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	ELK4
MAPK1	ETS1
ETS1	SRF
PRKCA	CREB1
PRKCA	MTOR
MTOR	HIF1A
MAPK1	STAT1
MAPK1	ELK1
MAPK1	STAT3
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
PRKCA	ATF2
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	SP1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ETS2
PRKCA	MAPK3
PRKCA	HRAS
HRAS	MAPK14
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
ELK1	EGR1
PRKCA	ATF4
HRAS	JUN
ETS1	SPI1
MAPK14	CEBPB
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ESR1
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
CREB3	ATF1
CREB1	PER1
PER1	ARNTL
PER1	NPAS2
PER1	CLOCK
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
MAPK1	TP53
PRKCA	FOS
STAT1	MYD88
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	SMAD4
CREB3L3	FOSB
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
GLI2	WNT10A
GLI3	BMP4
GLI3	WNT7A
GLI3	WNT5B
E2F1	CCNE2
TP53	GADD45G
MAPK11	IL8
RBPJL	FCER2
ELK1	CCND2
ATF2	IL8
ATF6B	IL8
CREB3L4	IL8
CREB3L4	PCNA
STAT1	MYD88
CREBBP	CDKN1B
CREBBP	ENO1
CREBBP	ENO3
CREBBP	EPO
CREBBP	TEK
EP300	CDKN1B
EP300	ENO1
EP300	ENO3
EP300	EPO
EP300	TEK
HIF1A	CDKN1B
HIF1A	ENO1
HIF1A	ENO3
HIF1A	EPO
SOS1	SPRY4
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
LEF1	MITF
MAPK3	CCND1
PIK3CA	AKT2
RBPJL	HES1
TP53	PIDD
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	SCD5
RXRB	ACAA1
RXRB	PCK2
RXRB	ANGPTL4
RXRB	ACSL5
RXRB	ADIPOQ
RXRB	CD36
RXRG	GK
RXRG	GK2
RXRG	ACAA1
RXRG	SLC27A1
RXRG	LPL
RXRG	MMP1
RXRG	PLTP
RXRG	SCD
RXRG	UBC
MAPK1	IL8
MAPK8	IL8
CREBBP	CDKN2B
SMAD2	PITX2
SMAD9	ID1
SMAD9	ID3
FOS	CCL4L2
FOS	CCL3
IRF3	CXCL9
IRF3	CD80
IRF5	IL12B
IRF5	CCL3
IRF7	IFNA5
IRF7	IFNA7
JUN	IL12A
JUN	IL12B
JUN	CCL3L3
NFKB1	CCL3L3
NFKB1	CCL3
RELA	IL12A
STAT1	CXCL9
SPI1	CD14
CREB1	LOC100507709
CREB1	LOC100509457
MYD88	IFNA21
NFYA	LOC101060835
NFYB	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL18
MAPK3	IL18
MAPK11	IL12A
MAPK9	IL12A
MAPK9	IL12B
RFX5	HLA-DOA
RFX5	HLA-DOB
LEF1	PPARD
TCF7	JUN
TCF7	MMP7
TCF7	PPARD
MYB	TSC22D3
MYBL1	TSC22D3
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
USF2	CALCA
E2F4	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
RARB	CRABP2
ATF1	ERBB2
ETV4	ERBB2
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
POU2F1	HIST2H2BE
FOS	HLA-DRA
USF2	HMOX1
RELA	IL2
POU2F2	IL4
ETS1	IL5
JUND	IL5
SPI1	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
CEBPB	IL8
FLI1	MMP3
PPARG	MMP9
E2F1	MYB
MYC	MYC
RELA	MYC
BCL3	NFKB2
NFKB1	PPP2R4
CEBPB	PTGS2
TP53	PTTG1
SP1	RPL15
RARA	S100A8
RARG	S100A8
RARA	S100A9
WT1	SOD1
ETV4	SPP1
POU2F1	SPP1
SP1	SPP1
NFIC	STMN1
USF2	THBS1
SMAD3	TIMP1
STAT1	TIMP1
TFAP2A	TIMP1
E2F4	TK1
CEBPB	TOP1
PAX2	TP53
STAT1	TP53
USF1	TP53
WT1	TP53
