SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD4
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	CREB1
MAPK1	SMAD3
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
PRKCA	RAF1
RAF1	NFKB1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	MTOR
MTOR	PPARG
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PML	CCNA1
RARA	CCNA1
ZBTB16	CCNA1
CREB3L3	FOS
CREB5	FOS
RELA	XIAP
GLI1	PTCH1
GLI1	WNT8B
GLI1	WNT10A
GLI3	PTCH1
GLI3	WNT5A
PAX6	INS
CREB3L3	MITF
VDR	SLC34A2
ETS1	FIGF
FOS	IL8
NFKB1	TRAF6
IRF1	IL12B
NFKB1	MYB
PPARA	APOC3
PPARD	ILK
PPARG	ANGPTL4
RXRA	DBI
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQB1
MAPK1	IL6
TCF7L1	JUN
TCF7L1	PPARD
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	CD55
CREB1	TWF2
SP1	CAV1
REL	EGFR
USF1	HMOX1
USF2	HMOX1
ETV4	HPGD
SP1	HRAS
CEBPB	ICAM1
JUNB	IVL
ERG	JUN
SP3	KLK3
SP1	LCAT
USF1	LIPC
MYB	MAT2A
ETV4	MMP9
JUN	MT1A
