AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
MAPK1	CREB1
MAPK1	ESR1
HRAS	RAF1
RAF1	NFKB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
RAF1	RELA
MAPK1	ATF2
MAPK1	ATF4
PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	TP53
CREBBP	CREB1
RXRA	SREBF1
SREBF1	IRS2
IRS2	GRB2
GRB2	MAPK1
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
AKT3	RELA
CREBBP	ATF2
CREBBP	ATF4
GLI3	BMP2
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
STAT4	SOCS2
STAT5B	SOCS1
ELK1	TWF2
ETS2	TWF2
FLI1	POLR2A
FOS	PLAUR
SP3	CD14
EGR1	CD44
SP3	COL2A1
USF1	CTSB
SP3	DKC1
ESR1	FOS
PPARA	MMP9
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
