CES1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	RELA
AKT3	JUN
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKCA	MAPK1
MAPK1	STAT3
MAPK1	ETS1
OGT	GSK3B
GSK3B	MYC
AKT3	NFKB1
OGT	CRTC2
CRTC2	CREBBP
CREBBP	SP1
PRKCA	CREB1
OGT	NR1H3
NR1H3	RXRA
PRKCA	PAX8
PAX8	RXRB
PAX8	RXRG
RXRA	RARB
PRKCA	MAPK3
PRKCA	PRKACA
PRKACA	PPARA
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SMAD7
PML	CCNA1
RARA	CCNA1
ZBTB16	CCNA1
TCF7L2	MYC
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
TEAD3	GLI2
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
ETS1	VEGFC
FOXO3	G6PC2
CREB3L3	BCL2
PPARD	CPT1A
PPARD	UBC
RXRA	CYP4A11
RXRA	ACSL1
RFXAP	HLA-DMA
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
SP3	CD14
EGR1	CD44
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
SP3	COL2A1
STAT1	EGFR
E2F1	HIST1H2AM
ETV4	HPGD
SP1	HRAS
CEBPB	ICAM1
ATF1	PLAUR
ETS1	VWF
ETS2	VWF
NFIC	VWF
