HRH1	GNAQ
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HRAS	MAPK1
MAPK1	TP53
MAPK1	STAT3
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	STAT1
STAT1	MYD88
MYD88	VDR
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
CREB3L3	FOS
CREB3L1	PDYN
NFKB1	BIRC2
RELA	XIAP
GLI1	WNT16
GLI1	BMP4
GLI1	WNT8B
GLI1	WNT9A
GLI1	WNT3A
GLI3	WNT5A
ELK1	CCND3
ATF2	PCNA
EP300	FASLG
ATF4	IL8
TP53	CDKN1B
CREBBP	EDN1
CREBBP	FLT1
CREBBP	HK2
CREBBP	TF
EP300	EDN1
EP300	FLT1
EP300	HK2
EP300	TF
HIF1A	EDN1
HIF1A	FLT1
HIF1A	HK2
SOS2	SPRY1
STAT4	SOCS4
STAT4	PIM1
CREB3	MITF
MITF	TYR
CREB3L3	MITF
NFYB	HLA-DPB1
NFYB	HLA-DQA1
RFXAP	LOC100509457
RFXAP	HLA-DMA
RFXAP	HLA-DRA
SP3	CDKN1A
JUNB	IVL
CREB1	JUN
ETS2	JUN
SP3	KLK3
SP1	KRT5
ATF1	LDHA
USF1	LIPC
ETS1	LYZ
SP2	MAT2A
JUN	MT1A
E2F4	RBL1
RELA	S100A6
TP53	S100B
SPI1	SERPINB1
ESR1	SP1
JUN	SPP1
CEBPA	TF
JUN	TFPI2
WT1	THBS1
SMAD4	TIMP1
ATF2	TNF
ELK1	TNF
USF2	TOP3A
PAX5	TP53
STAT3	TRH
POU2F1	TXNRD1
