HTR2A	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
NFKB1	NFKB2
HRAS	MAPK1
MAPK1	CREB1
DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
GNAI1	RAPGEF3
RAPGEF3	PRKACA
GLI3	WNT3
ATF2	PCNA
CREB3L4	IL8
EGR2	FASLG
CREBBP	EDN1
CREBBP	ENO3
CREBBP	ALDOA
EP300	EDN1
EP300	ENO3
EP300	ALDOA
HIF1A	EDN1
HIF1A	ENO3
HIF1A	ALDOA
RBPJL	HES1
TP53	RCHY1
TP53	PIDD
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DRB1
FOS	MT1A
RELA	S100A6
RARG	S100A8
RARB	S100A9
JUN	SPP1
SP1	SPP1
SP1	TAF7
SMAD4	TIMP1
TFAP2A	TIMP1
CEBPA	TK1
PAX5	TP53
USF1	TP53
SP1	TPI1
