HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
GNAS	GNB5
GNB5	MAPK1
MAPK1	ELK1
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ETS2
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
STAT3	MYC
SRC	HRAS
HRAS	JUN
MAPK1	TP53
SRC	RAC1
RAC1	RELA
RAC1	NFKB1
MYC	ZBTB17
MYC	PIAS2
HRAS	FOS
CREB3	NPY
GLI3	BMP4
HIF1A	PFKFB4
HIF1A	PFKL
FOXO1	PCK1
SOS1	SPRY3
TP53	PERP
RXRA	ACSL5
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK12	IL1B
NFKB1	REL
POU2F1	REL
SP1	COL4A2
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
USF2	CEACAM6
ATF1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
STAT1	EGFR
USF1	FBP1
E2F1	HIST1H2AM
CREB1	HMOX1
STAT5B	IFNG
PPARG	MMP9
ETS1	VWF
ETS2	VWF
