CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	JUN
MAPK1	TP53
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKACA	XBP1
XBP1	CEBPA
PRKCA	MTOR
MTOR	HIF1A
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKCA	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
PPARA	CPT1C
CREB3L3	ARC
CREB3L1	ARC
RELA	BIRC3
RELA	BCL2L1
GLI1	WNT8A
GLI1	WNT11
EP300	EDN1
EP300	MITF
PIK3CD	PDPK1
EPAS1	SLC2A1
ETS1	MMP2
NFKB2	PTGS2
NFKB2	TRAF6
CREB1	MCL1
PPARA	NR1H3
PPARA	EHHADH
PPARA	ME1
PPARG	SORBS1
PPARG	ACSL3
PPARG	SCD
RXRB	FABP1
RXRB	FABP3
RXRG	CYP4A11
RXRG	CYP7A1
NFYB	HLA-DQA1
NFYC	LOC100507714
NFYC	LOC101060835
NFYC	HLA-DQA1
CREB5	AQP2
MYB	TSC22D3
MYBL1	TSC22D3
ESR2	CD68
SPI1	CD68
POU2F2	CD79A
ETV4	ERBB2
POU5F1	HMGB2
NFKB1	HMOX1
NFKB1	ICAM1
JUN	IVL
ATF1	JUN
PGR	KLK3
TFAP2A	KRT14
PPARG	LIPA
POU2F1	LPL
SMAD4	TIMP1
