HRH2	GNAS
GNAS	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
SRC	HRAS
HRAS	JUN
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
PRKACA	ATF1
MAPK1	TP53
PRKACA	PPARA
CTNNB1	LEF1
LEF1	PPARD
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
GLI3	BMP2
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
STAT4	SOCS2
STAT5B	SOCS1
CREB1	MITF
HIF1A	TGFA
RXRG	FABP3
IRF7	IFNA14
RFX5	HLA-DQA1
RFX5	HLA-DQA2
ETS2	TWF2
ETV4	PLAUR
FOS	PLAUR
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
PPARA	MMP9
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
ETS1	VWF
ETS2	VWF
