CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
HRAS	JUN
MAPK1	TP53
MAPK1	MYC
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	CCND1
CCND1	RB1
RB1	TFDP2
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI2
GSK3B	GLI3
HRAS	RAF1
RAF1	NFKB1
NFKB1	NFKB2
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
PRKACA	XBP1
XBP1	CEBPA
GSK3B	GLI1
THRA	RXRB
THRA	RXRG
MAPK1	ETS1
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	ELK1
ELK1	EGR1
MAPK1	ATF2
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB1
PRKCA	HRAS
PRKCA	MTOR
MTOR	HIF1A
PRKCA	PRKACA
PRKACA	GLI2
PRKACA	GLI3
PRKCA	RAF1
PRKCA	PAX8
PAX8	RXRA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKACA	GLI1
PAX8	RXRB
PAX8	RXRG
PRKCA	ATF2
CREB3L1	ARC
RELA	BCL2L1
GLI1	WNT11
GLI2	WNT3A
GLI3	BMP2
TP53	GADD45G
TCF7L2	MYC
TCF7L1	BIRC5
ELK1	CCND2
JUN	CCND3
STAT1	MYD88
CREB3L3	PCNA
CREBBP	TEK
CREBBP	TIMP1
EP300	TEK
EP300	TIMP1
STAT4	SOCS2
STAT5A	SOCS1
STAT5B	SOCS4
STAT5B	SOCS1
STAT6	PIM1
MAPK3	CCND1
VDR	TRPV6
NFKB1	GADD45B
RELA	BCL2A1
PIK3CD	AKT1
PIK3R2	AKT1
PIK3R2	AKT2
TP53	SERPINE1
ETS1	VEGFC
FOXO3	G6PC2
PPARD	CPT1A
RXRA	CYP4A11
RXRB	PCK1
NFYA	HLA-DOB
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
NFYC	HLA-DQA2
MAPK9	IL12A
MAPK9	IL12B
RFXAP	HLA-DRB4
MAPK12	IL6
ETS2	TWF2
FOS	PLAUR
MYB	TSC22D3
MYBL1	TSC22D3
CEBPB	ABCB1
GLI1	BCL2
ATF1	BCL2
TP53	CAV1
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF1	CEACAM6
SP3	COL2A1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
TP53	EGFR
CREB1	ERBB2
ELK1	ERBB2
ETS1	FOSL1
POU5F1	HMGB2
CREB1	HMOX1
ATF1	JUN
TFAP2A	KRT14
POU2F1	LPL
NFKB1	MMP3
PPARA	MMP9
BCL3	NFKB2
ATF1	PLAUR
SP2	PLP1
TP53	PTTG1
EGR1	RELA
WT1	SOD1
SMAD2	SP1
USF2	THBS1
ETS1	TIMP1
CEBPB	TOP1
EGR1	TP53
