HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
GNAS	SRC
SRC	HRAS
HRAS	JUN
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
SRC	STAT3
STAT3	ESR1
ESR1	SP1
HRAS	FOS
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
STAT3	STAT1
MAPK1	SMAD3
GNB5	MAPK8
MAPK8	JUND
MAPK1	SMAD4
MAPK1	TP53
MAPK8	JUNB
PRKACA	ATF1
MAPK1	ELK1
PRKACA	PSEN1
PSEN1	ATF6
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	BIRC5
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
RELA	CCL4
RELB	CXCL12
RXRB	MMP1
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
MAPK12	IL6
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
CREB1	ARG1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CREB1	HMOX1
TFAP2A	HMOX1
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
SP1	PLAU
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
