ADORA1	GNAI1
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
MAPK1	RELA
SMAD2	YAP1
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
PDE4B	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	RELA
MAPK8	SMAD3
SMAD3	YAP1
RYR1	CALML6
CALML6	HRAS
CALML6	CAMK2A
CAMK2A	CREBBP
RYR1	PRKCA
PRKCA	RAF1
PRKCA	MAPK1
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
PRKACA	MAPK1
MAPK1	JUN
NFKB1	PPP2CA
PPP2CA	YAP1
PDE5A	HPRT1
HPRT1	PDE3B
PDE5A	ITPA
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PDE6C	HPRT1
PDE6C	ITPA
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE9A	ITPA
PDE6A	HPRT1
PDE6A	ITPA
PDE6B	HPRT1
PDE6B	ITPA
PRKDC	TP53
TP53	PTEN
PTEN	AKT3
AKT3	JUN
TP53	TP73
TP73	YAP1
YAP1	SMAD2
AKT3	NFKB1
AKT3	RELA
PIK3CD	AKT3
PIK3CD	HIF1A
HIF1A	CREBBP
AKT3	PPP1CA
PIK3CA	AKT3
PIK3CA	HIF1A
PIK3CB	AKT3
PIK3CB	HIF1A
ITPR1	CALML6
ITPR1	CAMK2A
CAMK2A	MAPK1
ITPR2	CALML6
ITPR2	CAMK2A
ITPR3	CALML6
ITPR3	CAMK2A
ATM	TP53
ATF6B	ARC
ATF4	ARC
HIF1A	TFRC
HIF1A	VEGFA
MYB	TSC22D3
MYBL1	TSC22D3
JUN	ALDOA
POU2F1	ALDOC
TP53	IL8
CEBPA	ITGA2
