CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	RAF1
RAF1	NFKB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PRKACA	XBP1
XBP1	CEBPA
RAF1	RELA
HRAS	MAPK1
MAPK1	ELK1
MAPK1	CREB1
MAPK1	STAT3
HRAS	FOS
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	SMAD2
SMAD2	SP1
HRAS	MAPK8
MAPK8	JUND
HRAS	JUN
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ETS1
SMAD2	SMAD7
PIK3R5	MTOR
MTOR	PPARG
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRA
PRKCA	RAF1
PRKCA	PRKACA
PRKCA	MAPK1
PRKCA	CREB1
PRKCA	FOS
PRKCA	HRAS
SMAD2	YAP1
PRKCA	MTOR
TP53	GADD45G
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
LEF1	MYC
TCF7	BIRC5
HIF1A	TIMP1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
TEAD3	CTGF
STAT4	CCND3
STAT5B	CCND2
FOS	CDK4
NFKB1	TRAF5
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
NFYC	HLA-DQA2
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100509457
RFXAP	HLA-DMA
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
SP1	ADA
SP3	CD14
EGR1	CD44
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM5
ATF4	CGA
CREB1	CGA
TFAP2A	CYP11A1
BCL3	NFKB2
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
EGR1	PLAU
ETS2	PLAU
