AGTR1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
RAF1	RELA
MAPK1	TP53
SMAD2	E2F4
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ETS1
HRAS	JUN
MAPK1	SMAD4
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
GNAQ	PLCB1
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	ETS2
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	CREB1
STAT5A	PIM2
STAT5A	PIM1
STAT5B	PIM2
STAT5B	PIM1
CREB3L3	NPY
GLI3	WNT4
GLI3	BMP2
HIF1A	VEGFA
HIF1A	VEGFB
HIF1A	VEGFC
ARNT	LTBR
ARNT	NOS2
ARNT	NOS3
ARNT	PFKFB3
ARNT	PFKFB4
ARNT	PFKL
STAT4	SOCS2
STAT5B	SOCS1
TCF7L2	MITF
RBPJ	PTCRA
TP53	PTEN
EPAS1	PDGFB
ETS1	MMP1
NFKB2	TRAF2
CREB3	BCL2
PPARA	CYP7A1
PPARA	LPL
PPARG	CYP27A1
PPARG	PLIN1
RXRA	ME1
RXRA	MMP1
RXRA	OLR1
RXRA	PCK1
RXRA	PCK2
RXRA	ANGPTL4
RXRG	EHHADH
IRF7	IFNA8
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK9	IL12B
ETS2	TWF2
FLI1	POLR2A
MYB	TSC22D3
MYBL1	TSC22D3
USF2	XRCC6
JUN	ABCA1
USF1	CCNB1
USF2	CCNB1
SP3	CTSL
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
USF2	HMOX1
TFAP2A	HSPA1A
SP1	HSPA8
ESR1	HSPB1
SP1	HSPB1
SP1	IL2
ERG	MMP9
PPARA	MMP9
