ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	STAT3
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
NFKB1	CEBPB
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
AKT3	RELA
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
MAPK1	TP53
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKCA	PRKACA
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	GSK3B
GSK3B	MYC
PRKACA	PSEN1
PSEN1	ATF6
AKT3	JUN
HIF1A	EP300
HIF1A	ARNT
NFKB1	MYB
MAPK1	STAT1
MAPK1	SMAD2
SMAD2	E2F4
PRKCA	CREB1
MAPK1	ETS2
MAPK1	ESR1
MAPK1	ELK1
ELK1	EGR1
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD3
AKT3	MDM2
MDM2	RB1
RB1	TFDP2
PRKCA	FOS
PRKCA	CREB3
CREB3	ATF1
AKT3	FOXO3
AKT3	PPP1CA
PPP1CA	YAP1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	ETS1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
YAP1	BBC3
SMAD2	TFDP1
MAPK1	SMAD4
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUND
CREB5	FOSB
CREB5	BDNF
CREB5	PDYN
NFKB1	BIRC7
GLI1	HHIP
GLI1	WNT6
GLI1	WNT5B
GLI2	HHIP
GLI2	WNT5B
GLI2	PTCH2
GLI2	WNT3A
GLI3	GLI1
GLI3	HHIP
TFDP2	CCNE2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
RBPJ	CR2
RBPJ	FCER2
CTNNB1	CCND3
CREB1	PCNA
ATF4	PCNA
MAPK9	SMAD4
RELA	IL6
CREBBP	CDKN1A
CREBBP	HK3
CREBBP	PFKFB2
CREBBP	PFKL
EP300	CDKN1A
EP300	HK3
EP300	PFKFB2
EP300	PFKL
HIF1A	CDKN1A
HIF1A	HK3
HIF1A	PFKFB2
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TEAD1	GLI2
TEAD4	AXIN1
SOS1	SPRY3
NEUROG3	PAX6
PAX6	PDX1
HNF1A	HNF4A
CREB1	MITF
MAPK3	CDK4
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RBPJL	PTCRA
NFKB1	FIGF
NFKB1	VEGFC
STAT3	VEGFA
ETS1	VEGFB
FOS	VEGFA
HIF1A	PDGFB
JUN	MMP9
JUN	PGF
MYC	VEGFC
NFKB1	CCND1
NFKB2	XIAP
NFKB2	BIRC7
FOXO3	CDKN1B
FOXO3	PCK1
CREB3L3	MCL1
CREB5	MCL1
PPARA	FABP1
PPARA	ACSBG2
PPARA	FADS2
PPARD	PDPK1
PPARD	ACOX3
PPARG	ACSL4
RXRA	APOA5
RXRA	CPT1B
RXRA	FABP3
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	CEBPB
NFKB1	IL23A
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK3	IL18
MAPK8	IL18
MAPK10	IL12B
MAPK10	IL18
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
SP1	CDKN1C
SP1	COL4A2
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
CREB1	ADRB2
GLI1	BCL2
ATF1	BCL2
CEBPA	BCL2
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ELK1	CCT8
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
CREB1	CGA
TFAP2A	COL1A1
USF1	CTSB
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
STAT1	EGFR
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
