SOAT1	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PRKCE	RAF1
RAF1	RELA
RAF1	NFKB1
MAPK8	JUN
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
MAPK8	TP53
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	STAT1
PRKCE	PPP1CA
PPP1CA	YAP1
PLCB1	PIK3R5
PIK3R5	HIF1A
MAPK1	ESR1
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
EGFR	SOS1
EGFR	SOS2
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
PPP1CA	CREB1
SMAD3	E2F4
ANPEP	GGT1
GGT1	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	RAF1
PRKCA	HRAS
HRAS	JUN
GGT1	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
MAPK1	TP53
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
JAK2	STAT1
SMAD2	YAP1
PRKCA	MTOR
MTOR	HIF1A
MAPK1	SMAD3
JAK2	STAT5A
JAK2	STAT5B
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	CREB1
SMAD2	E2F4
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
VDR	SLC34A2
PIK3R2	AKT3
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK1	IL1B
RFXAP	HLA-DMA
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
SP1	CDKN1C
SP1	COL4A2
TP53	CAV1
SP1	CD14
SP1	CD9
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ETS1	CSNK2A1
CREB1	HMOX1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
