CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
SMAD2	E2F4
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
PRKCA	MTOR
MTOR	HIF1A
MAPK1	ETS1
MAPK1	STAT3
MAPK1	MYC
MAPK1	STAT1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	FOS
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PRKCE	ARAF
ARAF	MAPK14
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
SMAD3	E2F4
SMAD3	TFDP1
TFDP1	E2F1
TFDP1	E2F2
TFDP1	E2F3
PRKCE	RAF1
MAPK8	JUN
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	HIF1A
ARAF	MAPK1
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
PLCB1	CAMK2A
CAMK2A	STAT1
CAMK2A	CREBBP
CAMK2A	EP300
MAPK8	FOS
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
PPARG	SERPINE1
CREB1	TG
FLI1	TNNC1
TFAP2A	VHL
