RARA	CCNA1
STAT3	PIM2
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L3	NPY
CREB3L1	FOSB
CREB3L1	BDNF
ATF6B	ARC
ATF4	ARC
CREB3L1	ARC
RELA	BCL2L1
GLI1	WNT11
GLI3	WNT2B
NR1H4	ABCB4
SMAD2	CDKN2B
TFDP2	CCNE2
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
JUN	RELA
RBPJ	FCER2
CTNNB1	CCND3
ELK1	XIAP
ATF6B	PCNA
NFATC1	TNF
NFKB1	TNF
MAPK8	SMAD4
MAPK9	JUN
RELA	IL6
CREB3L2	IL8
CREBBP	ENO2
CREBBP	HMOX1
CREBBP	SERPINE1
CREBBP	PDK1
CREBBP	PFKFB1
CREBBP	PFKL
CREBBP	BCL2
EP300	ENO2
EP300	HMOX1
EP300	SERPINE1
EP300	PDK1
EP300	PFKFB1
EP300	PFKL
EP300	BCL2
HIF1A	ENO2
HIF1A	HMOX1
HIF1A	SERPINE1
HIF1A	PDK1
HIF1A	PFKFB1
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
SMAD2	SERPINE1
SOS1	SPRY3
PAX6	INS
EP300	MITF
MITF	DCT
LEF1	MITF
MAPK1	CDK4
MAPK3	CCND1
VDR	SLC34A2
VDR	S100G
NFKB1	CXCL2
NFKB1	IL1B
NFKB1	NFKB2
NFKB1	NFKBIA
NFKB1	PLAU
NFKB1	CCL4
NFKB1	TNFAIP3
NFKB1	TRAF1
NFKB1	CFLAR
NFKB1	CCL4L1
NFKB2	TNFSF13B
NFKB2	CCL21
RELA	NFKB2
RELA	NFKBIA
RELA	VCAM1
RELB	TNFSF13B
RELB	ICAM1
PIK3R5	AKT2
PIK3R5	PDPK1
PIK3CA	AKT3
PIK3CG	AKT1
PIK3CG	AKT2
PIK3CG	PDPK1
PIK3R2	AKT3
PIK3R3	AKT1
PIK3R3	AKT2
PIK3R3	PDPK1
STAT3	VEGFB
FOS	VEGFA
HIF1A	PDGFB
HIF1A	TGFA
JUN	FIGF
JUN	MMP9
NFKB2	CCND1
NFKB2	BIRC7
IRF1	IL12A
ATF4	BCL2
CREB3L3	MCL1
PPARA	SLC27A4
PPARA	FABP1
PPARA	ACADM
PPARD	ACADL
PPARD	PDPK1
PPARG	SLC27A4
PPARG	ACSL4
PPARG	PCK2
RXRA	CYP27A1
RXRA	FABP3
RXRB	MMP1
RXRB	OLR1
RXRG	EHHADH
RXRG	ACSL3
RXRG	ACSL4
RXRG	ACADM
RXRG	APOC3
RXRG	ANGPTL4
RXRG	PDPK1
IRF7	IFNA8
IRF7	IFNA17
IRF7	IFNA21
JUN	TNF
JUN	CCL4L1
STAT1	CXCL11
CEBPA	PER2
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFKB1	IL18
NFYB	HLA-DQA2
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL12B
MAPK11	IL12A
MAPK11	IL18
MAPK11	NOS2
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRB4
RFXANK	HLA-DMA
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
MYBL2	CDKN1C
SP1	CDK1
SP1	CDKN1C
SP1	REL
SP3	ABCA1
USF2	ABCA1
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
SP1	CAV1
SP2	CCND1
SP3	CD14
EGR1	CD44
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
SP1	CD9
USF1	CEACAM6
USF2	CEACAM6
ATF1	CGA
USF1	CTSB
USF2	CTSB
SP1	CTSL
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
NFIC	CYP17A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
E2F1	HIST1H2AM
SP1	HRAS
E2F4	HSP90B1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
SP1	IL2
RELA	IL2RA
STAT3	IL2RA
TP53	IL8
CEBPA	ITGA2
ATF1	JUN
TFAP2A	KRT14
POU2F1	LPL
MYB	MYB
NFKB1	MYC
MYB	NCL
SPI1	NFKB1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
CREM	PLAT
PPARG	PTGS2
MYC	PTMA
USF1	PTPN6
RARB	S100A8
SP1	SERPINB2
PPARA	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
NFIC	SFTPC
EGR1	SOD1
POU2F2	SPP1
NFKB1	TFPI2
JUN	TFRC
CREB1	TG
PAX8	TG
HOXA4	TH
EGR1	THBS1
STAT3	TIMP1
ETV4	TNF
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
SMAD4	TNNC1
TFAP2A	TNPO1
TP53	TP53
USF1	TYMS
HIF1A	VHL
TFAP2A	VHL
ERG	VIM
