ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	CREB1
MAPK1	SMAD2
SMAD2	E2F4
PRKCA	ATF2
PRKCA	CREB3
PRKCA	ATF6B
PRKCA	ATF4
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	AKT3
AKT3	JUN
MAPK1	ETS2
AKT3	NFKB1
PIK3R5	GSK3B
GSK3B	MYC
AKT3	RELA
NFKB1	MYB
MAPK1	ELK1
ELK1	EGR1
MAPK1	STAT1
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
CREB3	ATF1
HIF1A	EP300
HIF1A	ARNT
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ATF6B	IL8
CREBBP	ENO1
EP300	ENO1
HIF1A	ENO1
PAX6	PDX1
LEF1	MITF
PIK3R2	AKT3
BBC3	TP53AIP1
TP53	RRM2
STAT3	VEGFA
EPAS1	PDGFB
FOS	VEGFB
NFKB2	XIAP
NFKB2	TRAF2
CREB3L1	MCL1
CREB5	MCL1
PPARA	CYP7A1
PPARD	UCP1
PPARD	ACOX3
PPARG	CYP27A1
RXRA	ACSL3
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	CEBPB
NFKB1	IL23A
NFYA	LOC100509457
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
MAPK10	IL12B
MAPK10	IL18
SP1	CDKN1C
USF2	ABCA1
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
TFAP2A	ADM
CREB1	ADRB2
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ELK1	CCT8
SP1	CD14
USF2	CEACAM6
ATF1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP3	CTSL
NFIC	CYP11A1
SP1	CYP11A1
SP1	DKC1
SP1	EGFR
TFAP2A	GPX4
CREB1	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CREB1	HMOX1
ERG	HMOX1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARA	S100A8
POU2F1	SPP1
STAT1	TIMP1
STAT1	TP53
