ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PIK3R5	AKT3
AKT3	JUN
MAPK1	STAT3
MAPK1	SMAD2
SMAD2	E2F4
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
AKT3	RELA
AKT3	NFKB1
PIK3R5	EGFR
EGFR	SOS1
EGFR	SOS2
EGFR	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
AKT3	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	SMAD3
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	ESR1
MAPK1	STAT1
EGFR	STAT5A
EGFR	STAT5B
NFKB1	MYB
STAT5A	STAT2
STAT5A	STAT4
STAT5A	STAT6
MAPK1	ETS1
PRKCA	ATF2
STAT1	MYD88
PRKCA	CREB1
PRKCA	FOS
PIK3R5	HRAS
HRAS	MAPK14
MAPK14	MAX
CREBBP	RBPJL
CREBBP	RBPJ
PRKCA	MAPK3
HIF1A	EP300
HIF1A	ARNT
NFKB1	CEBPB
PRKCA	ATF4
PRKCA	CREB3
PRKCA	CREB3L2
PRKCA	CREB3L1
PIK3R5	MTOR
MTOR	PPARG
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	MAPK11
HRAS	MAPK13
CREB3	ATF1
PRKCA	ATF6B
PRKCA	CREB5
KCNMA1	CACNA1C
CACNA1C	INS
INS	MAPK1
MAPK1	MYC
CACNA1C	CALML6
CALML6	HRAS
HRAS	JUN
INS	KIT
KIT	STAT3
CALML6	CAMK2A
CAMK2A	CREBBP
MAPK1	RELA
MAPK1	NFKB1
INS	EGFR
CREBBP	LEF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
SMAD2	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CALML6	ADCY1
ADCY1	PRKACA
CAMK2A	STAT1
KIT	STAT5A
KIT	STAT5B
CREBBP	MYB
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
INS	PIK3R5
CAMK2A	ATF2
CAMK2A	CREB1
HRAS	FOS
INS	MAPK3
CAMK2A	EP300
CREBBP	ARNT
MAPK14	CEBPB
CAMK2A	ATF4
CAMK2A	CREB3
CAMK2A	CREB3L2
CAMK2A	CREB3L1
HRAS	MAP3K1
MAP3K1	IKBKG
INS	NR1H3
NR1H3	RXRA
CAMK2A	ATF1
CAMK2A	ATF6B
CAMK2A	CREB5
ATF6B	FOS
ATF4	FOS
GLI2	WNT2B
GLI3	WNT16
GLI3	HHIP
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
NPAS2	RORA
NPAS2	RORC
NPAS2	BHLHE40
NPAS2	NR1D1
CLOCK	CRY2
CLOCK	RORA
CLOCK	PER2
FOSB	NFKB1
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
CTNNB1	CCND3
ATF6B	IL8
NFKB1	TNF
MAPK10	SMAD4
RELA	IL6
CREBBP	ENO1
CREBBP	SERPINE1
CREBBP	PFKFB4
CREBBP	PFKL
EP300	ENO1
EP300	SERPINE1
EP300	PFKFB4
EP300	PFKL
HIF1A	ENO1
HIF1A	SERPINE1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
SOS1	SPRY1
SOS1	SPRED1
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
PAX6	PDX1
CREB1	MITF
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MYD88	IFNA10
NFKB1	CEBPB
NFKB1	IL23A
MAPK3	IL18
MAPK10	IL12B
MAPK10	NOS2
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRB3
SP1	COL4A2
SP3	ABCA1
USF2	ABCA1
CREB1	ADRB2
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
EGR1	CD44
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
