HTR1A	GNAI1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	CREB1
MAPK1	ETS1
MAPK1	ELK1
MAPK1	SMAD2
SMAD2	SP1
PIK3R5	EGFR
EGFR	SOS1
EGFR	SOS2
NFKB1	NFKB2
MAPK1	ESR1
MAPK1	STAT3
MAPK1	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	TP53
STAT1	MYD88
MYD88	VDR
ATF6B	FOS
ATF4	FOS
GLI3	WNT16
ARNTL	NR1D1
NPAS2	PER1
FOS	CCND1
LEF1	BIRC5
LEF1	CCND1
CTNNB1	CCND2
SMAD3	MYC
NFKB1	TNF
MAPK10	SMAD4
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	PFKFB4
EP300	HK1
EP300	SERPINE1
EP300	PFKFB4
HIF1A	HK1
HIF1A	SERPINE1
LEF1	CCND2
TCF7	NKD1
TCF7	CCND3
TCF7L2	CCND2
TEAD4	CCND3
STAT4	SOCS3
STAT5B	CCND3
LEF1	MITF
TP53	SESN3
RXRB	PCK1
RXRB	PCK2
RXRG	ACSL6
RXRG	GK
RXRG	AQP7
RXRG	SLC27A1
RXRG	PLIN1
RXRG	PLTP
JUN	IL6
JUN	IL12A
NFKB1	IL12B
NFKB1	CCL3L3
SPI1	ITGAM
SPI1	CD14
NFYC	HLA-DMA
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL18
MAPK13	NOS2
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
MYB	TSC22D3
MYBL1	TSC22D3
MYC	CSTB
RELA	CTSB
ESR1	FOS
ESR2	FOS
ETS2	FOS
ATF2	INS
SP1	ITGA2
JUN	MMP7
FOS	NTS
MYC	ODC1
JUN	PLAT
TFAP2A	PLAT
ETS1	PLAU
USF2	PTGS2
SPI1	SCARB2
PPARA	SERPINE1
POU2F1	SFTPA1
EGR1	TFPI2
JUN	TFRC
CREM	TH
EGR4	TNF
ERG	TNNC1
SMAD3	TNNC1
JUN	TXN
HIF1A	VHL
