GLI3	BMP4
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EGR2	FASLG
CREBBP	ALDOA
HIF1A	TIMP1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
MITF	TYR
LEF1	MITF
MAPK1	CDK4
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
MAPK8	IL18
SP1	CAV1
TP53	CAV1
ELK1	CCT8
ATF2	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
PPARG	GADD45A
RARA	GADD45A
PPARG	MMP9
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARB	S100A9
SP1	TAF7
