HRH2	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
GNAS	SRC
SRC	PIK3R5
PIK3R5	HIF1A
SRC	RAC1
RAC1	NFKB1
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	STAT1
MAPK1	TP53
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
RAC1	RELA
STAT3	MYC
HRAS	FOS
CREBBP	EPAS1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
MITF	TYRP1
LEF1	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
IRF1	IL12A
CREB3L4	MCL1
PPARA	ACADM
PPARA	SCP2
PPARG	PCK2
RXRA	NR1H3
MAPK1	TNF
MAPK9	IL1B
RFXAP	LOC100507714
JUN	ABCA1
USF2	B2M
PPARG	SERPINE1
CREB1	TG
FLI1	TNNC1
TFAP2A	VHL
