ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKAG2	PPARGC1A
PPARGC1A	PPARA
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	LEF1
LEF1	PPARD
CRTC2	EP300
MTOR	HIF1A
HIF1A	ARNT
ADRA1B	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	MTOR
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
ADRA1B	GNA13
GNA13	SRC
SRC	CTNNB1
CTNNB1	LEF1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
ADRA1D	GNAQ
ADRA1D	GNA13
EGR3	FASLG
CREBBP	FIGF
EP300	FIGF
HIF1A	FIGF
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
RARG	S100A9
TFAP2A	TAF7
ATF1	TNF
CREB1	TRH
