CREB3L2	BDNF
CREB5	NPY
CREB3L1	PDYN
RELA	BIRC2
GLI1	WNT16
GLI1	WNT7B
GLI1	WNT9A
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
JUN	CCND2
CREB1	IL8
SMAD3	MYC
CREB3L3	IL8
CREB5	PCNA
CREBBP	HK1
CREBBP	TFRC
CREBBP	HKDC1
EP300	HK1
EP300	TFRC
EP300	HKDC1
HIF1A	HK1
SOS1	SPRED2
STAT4	SOCS1
STAT5B	CCND1
CREB3L3	MITF
RELA	TRAF1
PIK3R5	AKT1
PIK3CA	AKT2
PIK3CD	PDPK1
EPAS1	FIGF
FOS	IL8
NFKB2	BCL2L1
NFKB1	MYB
PPARA	CPT2
PPARD	ILK
PPARG	CPT1A
RXRA	DBI
RXRA	PLIN1
RXRB	NR1H3
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	EHHADH
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL1
RXRB	ACSL4
RXRB	SLC27A1
RXRB	UCP1
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1B
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP8B1
RXRG	ADIPOQ
MAPK10	IL8
SMAD4	PITX2
SP1	CDKN2B
FOS	CCL4
IRF3	CD40
IRF5	CCL5
NFYA	LOC100509457
NFYC	HLA-DMB
NFYC	HLA-DOA
TCF7L1	JUN
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SP3	CDKN1A
RARA	CRABP2
RARB	CRABP2
POU2F2	HLA-DRA
ATF2	HLA-E
USF2	HMOX1
POU2F2	IL2
STAT5B	IL2RA
CREB1	JUN
NFKB1	KLK3
SP1	KRT5
PPARD	LIPA
ETS1	LYZ
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
MYBL2	RBL1
CREB1	REN
SPI1	SCARB2
MYBL2	SP1
ETS1	SPP1
EGR1	TFPI2
CREB1	TIMP1
JUNB	TIMP1
EGR4	TNF
MYC	TP53
NFIC	TP53
JUN	TXN
