ADORA1	GNAI1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	YAP1
MAPK1	MYC
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
HRAS	MAPK1
PDE4B	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
SMAD3	YAP1
PRKACA	MAPK1
RYR1	PRKCA
PRKCA	MTOR
MTOR	HIF1A
RYR1	CALML6
CALML6	CAMK2A
PRKCA	MAPK1
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
NFKB1	PPP2CA
PPP2CA	YAP1
PDE5A	HPRT1
HPRT1	PDE3B
PDE5A	ITPA
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PDE6C	HPRT1
PDE6C	ITPA
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE9A	ITPA
PDE6A	HPRT1
PDE6A	ITPA
PDE6B	HPRT1
PDE6B	ITPA
PRKDC	TP53
TP53	PTEN
PTEN	PIK3R5
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
TP53	TP73
TP73	YAP1
YAP1	MYC
PIK3CD	HIF1A
PIK3CD	AKT3
AKT3	PPP1CA
PIK3CD	GSK3B
GSK3B	MYC
PIK3CA	HIF1A
PIK3CA	AKT3
PIK3CA	GSK3B
PIK3CB	HIF1A
PIK3CB	AKT3
PIK3CB	GSK3B
ITPR1	CAMK2A
CREBBP	HIF1A
CAMK2A	MAPK1
ITPR2	CAMK2A
ITPR3	CAMK2A
ATM	TP53
ELK1	XIAP
CREB3L4	PCNA
CREB3L2	IL8
CREBBP	EPO
CREBBP	BCL2
EP300	EPO
EP300	BCL2
HIF1A	EPO
HIF1A	VEGFB
ARNT	CDKN1A
ARNT	FIGF
RFXAP	HLA-DMB
LEF1	ADA
USF2	B2M
USF1	PTPN6
RARA	S100A9
EGR1	SOD1
NFIC	STMN1
EGR1	THBS1
E2F4	TK1
TFAP2A	TNPO1
WT1	TP53
