AGTR1	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	MAPK1
MAPK1	TP53
MAPK1	ELK1
ELK1	EGR1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
MAPK1	SMAD2
SMAD2	SP1
HIF1A	ARNT
MAPK1	ESR1
MAPK1	CREB1
HRAS	JUN
MAPK1	SMAD4
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
CAMK2A	ATF1
GNAQ	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
HRAS	RAF1
RAF1	NFKB1
DVL1	GSK3B
GSK3B	ARNTL
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
PIK3R5	MTOR
MTOR	PPARG
GLI3	WNT7A
GLI3	WNT5B
E2F1	CCNE2
NFKB1	CCL5
ELK1	CCND1
EGR3	FASLG
CREB3L2	PCNA
CREBBP	FIGF
CREBBP	SLC2A1
EP300	FIGF
EP300	SLC2A1
HIF1A	FIGF
ARNT	EGF
ARNT	ANGPT4
ARNT	PGK1
TCF7	BIRC2
TCF7L2	SNAI2
HNF1A	HNF4G
MAPK3	CDK4
BBC3	TP53AIP1
RXRB	ACSBG1
MYD88	IFNA21
USF1	APOC3
PPARG	APOE
USF1	APOE
SPI1	CHI3L1
USF1	CHI3L1
MYBL2	COL1A1
ETS1	DNTT
TFAP2A	ERBB2
BRCA1	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUN	F3
JUND	F3
E2F1	MYB
MYC	MYC
RELA	MYC
ATF1	PPP2R4
USF2	PTPN6
RARG	S100A9
SP1	SOD1
TFAP2A	TAF7
USF1	THBS1
ATF1	TNF
E2F4	TOP1
CREB1	TRH
