CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	HIF1A
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	JUN
MAPK8	SMAD3
SMAD3	SP1
PRKCE	RAF1
RAF1	NFKB1
MAPK8	TP53
PRKCE	ARAF
ARAF	MAPK1
MAPK1	ETS1
MAPK8	ELK1
ELK1	EGR1
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PRKACA	XBP1
XBP1	CEBPA
ARAF	MAPK14
MAPK14	CEBPB
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
ATF6B	PCNA
MAPK8	JUN
CREBBP	ENO2
CREBBP	ANGPT4
EP300	ENO2
EP300	ANGPT4
HIF1A	ENO2
HIF1A	ANGPT4
MAPK3	CCND1
EPAS1	PGF
EPAS1	SLC2A1
NFKB2	TRAF3
NFKB2	TRAF6
PPARA	CYP8B1
PPARA	EHHADH
PPARG	FABP4
PPARG	ACSL3
RXRG	EHHADH
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFATC1	PTGS2
SP1	CTSL
SP1	FOSL1
BRCA1	GADD45A
POU5F1	GADD45A
RARB	S100A8
PPARD	SERPINE1
POU2F2	SPP1
ATF1	TG
STAT3	TIMP1
ETS1	TNNC1
TP53	TP53
PAX1	VHL
