HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	ATF2
GNAS	SRC
SRC	HRAS
HRAS	JUN
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
PRKACA	CREB1
SRC	RAC1
RAC1	NFKB1
HRAS	FOS
SRC	STAT3
STAT3	ESR1
ESR1	SP1
RAC1	RELA
STAT3	STAT1
GNAS	GNB5
GNB5	MAPK8
MAPK8	JUND
PRKACA	CREM
GNB5	MAPK1
MAPK1	ELK1
ELK1	EGR1
CTNNB1	LEF1
LEF1	PPARD
NR3C2	ATP1A2
NR3C2	ATP1B1
TP53	GADD45A
ELK1	BIRC2
ATF6B	IL8
MAPK8	JUN
MAPK9	JUN
RELA	MMP9
CREBBP	ENO1
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	PGF
EP300	ENO1
EP300	ANGPT4
EP300	PFKFB1
EP300	PGF
HIF1A	ENO1
HIF1A	ANGPT4
HIF1A	PFKFB1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
PIK3CA	AKT3
PIK3CG	PDPK1
MAPK1	NOS2
CREB3L3	AQP2
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
USF1	CCNB1
USF2	CCNB1
ESR1	CCND1
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
ESR1	EGFR
ESR2	EGFR
NFKB2	EGFR
JUND	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CEBPB	IL5
JUN	IL5
JUN	NFKB2
ESR1	PTMA
RARA	S100A8
PPARD	SERPINE1
SP1	SERPINE1
ETS1	SLC26A3
POU2F1	SPP1
ATF1	TG
PAX8	TG
HOXA5	TH
STAT1	TIMP1
ETS1	TNNC1
JUN	TNNC1
SP3	TNNC1
STAT1	TP53
PAX1	VHL
ERG	VIM
