HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	GLI2
PRKACA	GLI3
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
STAT3	MYC
MYC	ZBTB17
MYC	PIAS2
PIK3R5	HIF1A
HIF1A	ARNT
PRKACA	GLI1
SRC	HRAS
HRAS	JUN
SRC	RAC1
RAC1	RELA
RAC1	NFKB1
NFKB1	NFKB2
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
MAPK1	ETS1
GNB5	MAPK8
MAPK8	JUNB
PRKACA	XBP1
XBP1	CEBPA
STAT3	STAT1
STAT1	MYD88
MYD88	VDR
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
CREB5	NPY
CREB3L4	PDYN
CREB3L2	PDYN
NFKB1	BIRC3
RELA	BIRC8
RELA	BIRC2
GLI1	WNT1
GLI1	WNT7A
GLI1	WNT7B
GLI2	GLI1
GLI2	BMP2
GLI3	BMP4
NPAS2	CRY1
ELK1	CCND3
CREB3L4	IL8
EGR2	FASLG
TP53	CDKN1B
CREBBP	ENO3
CREBBP	ALDOA
CREBBP	TF
EP300	ENO3
EP300	ALDOA
EP300	TF
HIF1A	ENO3
HIF1A	ALDOA
ARNT	ENO2
ARNT	EPO
ARNT	SLC2A1
ARNT	TF
ARNT	VEGFB
ARNT	HKDC1
YAP1	CTGF
YAP1	FGF1
YAP1	ITGB2
YAP1	MYC
YAP1	CCND2
WWTR1	CTGF
WWTR1	AREGB
SMAD1	ID2
SMAD3	CTGF
SMAD4	CTGF
SOS2	SPRY1
STAT4	MYC
STAT5B	SOCS4
CREB1	MITF
MITF	TYR
RBPJL	HES1
TP53	RCHY1
TP53	PMAIP1
TP53	PIDD
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
NFYA	LOC101060835
MAPK11	NOS2
RFX5	HLA-DRA
RFX5	HLA-DRB3
RFXAP	HLA-DRB5
SPI1	B2M
USF1	B2M
GLI1	BCL2
ATF1	BCL2
BRCA1	BCL2
TP53	CAV1
SP3	CD14
EGR1	CD44
ATF2	CGA
TFAP2C	ESR1
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
STAT5B	IL2RA
STAT4	IRF1
CEBPA	IVL
JUN	JUN
SP1	JUN
NFKB1	KLK3
CREB1	LDHA
PPARA	LIPA
PPARD	LIPA
SP1	MAT2B
RARA	MIF
PPARG	MMP9
JUN	NTS
E2F4	RBL1
RARG	S100A8
RARB	S100A9
ESR1	SP1
SP1	SPP1
SP1	TAF7
WT1	THBS1
TFAP2A	TIMP1
CEBPA	TK1
USF2	TOP3A
USF1	TP53
SP1	TPI1
