HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	CREB1
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	ATF2
MAPK1	ATF4
MAPK1	ATF6B
MAPK1	SMAD2
SMAD2	E2F4
HRAS	RAF1
RAF1	NFKB1
SMAD2	SP1
MAPK1	ETS1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
LOC400927-CSNK1E	WWTR1
HRAS	MAPK14
MAPK14	CEBPB
DVL1	GSK3B
GSK3B	GLI2
GSK3B	GLI3
HRAS	JUN
ETS1	SPI1
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PRKACA	PPARA
MAPK1	MYC
IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
RELA	BIRC2
GLI1	WNT2
GLI1	WNT7B
GLI2	WNT16
TP53	GADD45G
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
HIF1A	BCL2
ARNT	EGF
ARNT	GAPDH
ARNT	LDHA
HNF1A	HNF4G
PIK3R2	AKT1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
MAPK1	NOS2
MAPK1	IL23A
RFX5	CD74
RFXAP	LOC100507709
SP2	CD14
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
ERG	HMOX1
CREB1	IFNG
STAT4	IFNG
CEBPA	IGF2
FLI1	IGFBP3
CEBPB	IL1A
CREB1	IL1B
CREB1	IL2
ETS2	IL2
NFKB1	KLK3
SP1	LDHA
PPARD	LIPA
SP3	MAT2B
BCL3	NFKB2
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
POU2F1	VWF
