CYP19A1	CYP3A4
CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	TP53
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	FOXO3
RB1	E2F2
RB1	E2F3
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	HRAS
HRAS	JUN
MTOR	PPARG
PRKCA	RAF1
RAF1	RELA
PRKCA	ATF2
RAF1	NFKB1
CREB1	CRH
CREB3L4	PDYN
CREB3L2	PDYN
GLI3	WNT16
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
EGR2	FASLG
MAPK10	SMAD4
RELA	IL6
CREBBP	ALDOA
CREBBP	PFKFB4
CREBBP	PFKL
EP300	ALDOA
EP300	PFKFB4
EP300	PFKL
HIF1A	ALDOA
PAX6	GCK
NFKB1	FIGF
MYC	MMP2
NFKB2	BIRC2
NFKB2	TRAF3
ATF2	MCL1
CREB3L3	BCL2
PPARA	CYP8B1
PPARA	ANGPTL4
PPARD	UBC
PPARG	FABP4
PPARG	SCD5
RXRA	ACSL1
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	NOS2
MAPK13	IL1B
MAPK13	IL12B
ATF2	CGA
RELA	CSF2
ETS1	CSNK2A1
CEBPA	IGF2
STAT4	IRF1
CEBPA	IVL
JUN	MMP7
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
RARB	S100A9
POU2F1	SFTPA1
NFIC	SFTPC
SP1	TAF7
CREM	TH
HOXA4	TH
CEBPA	TK1
SMAD3	TNNC1
SMAD4	TNNC1
SP1	TPI1
