AGTR1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	TP53
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HRAS	FOS
RAF1	RELA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
CREB3L3	PDYN
RELA	BIRC8
RELA	BCL2
GLI1	WNT7A
GLI1	WNT10B
GLI2	BMP2
NPAS2	PER2
CLOCK	RORC
FOSB	RELA
ELK1	BIRC2
ATF2	PCNA
ATF4	IL8
RELA	MMP9
CREBBP	EDN1
CREBBP	HK2
CREBBP	PGF
EP300	EDN1
EP300	HK2
EP300	PGF
HIF1A	EDN1
HIF1A	HK2
EP300	MITF
IRF1	IL12A
CREB3	BCL2
PPARA	ACADM
PPARA	LPL
PPARG	PCK2
PPARG	PLIN1
RXRA	ACSBG1
RXRA	UCP1
RXRB	CYP4A22
MAPK11	IL12B
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUND	IVL
SP1	JUN
TP53	KLK3
PPARA	LIPA
USF2	LIPC
RARA	MIF
BRCA1	PCNA
FOS	PDHA1
TFAP2A	PENK
ESR1	PTMA
RELA	S100A6
SPI1	SERPINB1
ETS1	SLC26A3
JUN	SPP1
JUN	TFPI2
HOXA5	TH
SMAD4	TIMP1
ELK1	TNF
SP3	TNNC1
PAX5	TP53
POU2F1	TXNRD1
