GABBR1	GNAI1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SMAD7
SMAD2	SP1
MAPK1	NFKB1
MAPK1	ETS1
MAPK1	RELA
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
ABAT	ALDH2
ALDH2	GATM
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CREBBP	ARNT
GATM	NOS1
NOS1	MAPK1
PRKCA	PRKACA
ELK1	CCND1
JUN	CCND2
CREBBP	FASLG
ATF4	PCNA
NFATC2	TNF
CREB3L2	PCNA
CREB3L3	IL8
CREBBP	EGF
CREBBP	HK3
CREBBP	LDHA
CREBBP	SLC2A1
CREBBP	TFRC
EP300	EGF
EP300	HK3
EP300	LDHA
EP300	SLC2A1
EP300	TFRC
HIF1A	EGF
HIF1A	HK3
HIF1A	LDHA
STAT4	CCND3
STAT5B	CCND2
NFYC	HLA-DMA
NFYC	HLA-DOA
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
SP3	ABCA1
USF2	CEACAM5
SP3	CYP17A1
USF2	PTPN6
MYBL2	RBL1
USF1	S100A6
JUN	SERPINB2
CEBPA	SERPINC1
SP1	SOD1
MYBL2	SP1
LEF1	SPP1
NFIC	TFPI2
POU2F1	TFPI2
USF1	THBS1
CREB1	TIMP1
SP1	TIMP1
ETS1	TNF
POU2F1	TNF
E2F4	TOP1
MYC	TP53
PAX8	TP53
TP53	TYMS
USF2	TYMS
