CYP19A1	CYP3A4
CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKCA	RAF1
RAF1	RELA
PRKACA	PPARA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	CREB1
PRKACA	XBP1
XBP1	CEBPA
RAF1	NFKB1
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	MTOR
MTOR	PPARG
CREB3L4	FOS
CREB3L2	FOS
CREB3L1	FOS
RELA	BIRC7
GLI1	WNT2B
STAT4	CCND1
STAT5B	MYC
EPAS1	TGFA
ETS1	CCND1
MAX	CKS2
NFKB2	TRAF4
CREB3L4	BCL2
PPARA	ACSL1
PPARA	UCP1
PPARG	ACSBG1
RXRA	SORBS1
MYD88	IFNA6
MYD88	IFNA13
NFYB	HLA-DQA2
NFYB	HLA-DRB1
RFXANK	HLA-DRB5
CREB3	AQP2
CREB3L4	AQP2
SP1	CAV1
STAT1	EGFR
RARA	GADD45A
STAT3	IRF1
SPI1	ITGB2
ATF2	JUN
SP1	KRT18
NFKB1	LTA
