HRH1	GNAQ
GNAQ	HRAS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	TP53
HRAS	JUN
HRAS	RAF1
RAF1	NFKB1
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	CCND1
CCND1	RB1
RB1	TFDP2
MAPK1	SMAD4
SMAD4	LEF1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	PPARA
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK1	ELK1
ELK1	EGR1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
RB1	E2F1
PRKACA	PDX1
PDX1	HNF4A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
NFKB1	NFKB2
MAPK1	ETS2
RAF1	RELA
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	AR
MAPK1	CREB1
MAPK1	FOXO1
HRAS	MAPK8
MAPK8	JUND
MAPK1	STAT3
SMAD2	E2F4
MAPK1	ATF2
HRAS	MAPK3
HRAS	FOS
RB1	E2F2
RB1	E2F3
CHUK	RELB
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK9
HRAS	MAPK10
MAPK1	MYC
MAPK1	SMAD3
PRKACA	CREM
NR3C2	ATP1A2
NR3C2	ATP1B1
CREB3L3	FOS
CREB3L1	PDYN
NFKB1	BIRC2
RELA	XIAP
GLI1	WNT16
GLI1	BMP4
GLI1	WNT8B
GLI1	WNT9A
GLI1	WNT3A
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI3	GLI1
TCF7L1	MYC
ESR1	TRPV5
ESR1	SLC8A1
ESR1	CALB1
ELK1	CCND2
CREB1	IL8
CREB3L4	IL8
MAPK8	JUN
MAPK10	JUN
STAT1	MYD88
CREB5	PCNA
CREBBP	ENO3
CREBBP	ANGPT4
CREBBP	PFKFB3
CREBBP	TEK
CREBBP	HKDC1
EP300	ENO3
EP300	ANGPT4
EP300	PFKFB3
EP300	TEK
EP300	HKDC1
HIF1A	ENO3
HIF1A	ANGPT4
HIF1A	PFKFB3
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	CDKN1B
ARNT	ENO2
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ITGB2
YAP1	CCND2
WWTR1	AREGB
SMAD3	CTGF
LEF1	SNAI2
LEF1	NKD1
FOXO1	PCK2
FOXO1	G6PC2
SOS2	SPRED1
STAT4	SOCS3
STAT5B	SOCS4
STAT5B	SOCS7
STAT5B	CCND3
STAT6	CCND3
STAT6	SOCS3
CREB1	MITF
LEF1	MITF
CREB3L2	MITF
RBPJL	HES1
TP53	RCHY1
TP53	PIDD
EPAS1	PGF
EPAS1	SLC2A1
EPAS1	VEGFB
NFKB2	TRAF3
NFKB2	TRAF5
NFKB2	TRAF6
PIAS2	CDKN2B
PPARA	CYP8B1
PPARA	DBI
PPARA	EHHADH
PPARA	HMGCS2
PPARG	FABP4
PPARG	ACSL1
PPARG	ACSL3
PPARG	MMP1
RXRA	SLC27A1
RXRB	CPT2
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	EHHADH
RXRB	ADIPOQ
RXRB	FADS2
RXRG	NR1H3
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1B
RXRG	ACSL1
MAPK1	IL8
MAPK3	IL8
CREBBP	CDKN2B
EP300	CDKN2B
SMAD9	ID1
SMAD9	ID2
FOS	CCL4L2
FOS	CCL3L3
IRF3	CXCL9
IRF3	CXCL11
IRF5	IL12B
IRF5	CCL3L3
IRF7	IFNA5
IRF7	IFNA6
IRF7	IFNA16
STAT1	CXCL9
MYD88	IFNA10
NFYA	HLA-DPB1
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
