CYP19A1	CYP3A4
CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
PRKCA	HRAS
HRAS	JUN
MAPK1	ETS2
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	TP53
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
GLI3	HHIP
RBPJ	FCER2
CTNNB1	CCND3
ATF6B	PCNA
RELA	IL6
CREBBP	ENO2
CREBBP	PFKL
EP300	ENO2
EP300	PFKL
HIF1A	ENO2
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
RFX5	HLA-DOB
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	LOC100507714
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
FLI1	MMP9
PPARG	PTGS2
MYC	PTMA
RARB	S100A8
NFIC	SFTPC
POU2F2	SPP1
HOXA4	TH
STAT3	TIMP1
SMAD4	TNNC1
TP53	TP53
