CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	ETS1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	CREB1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
MAPK1	TP53
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	SP1
HRAS	MAPK14
MAPK14	CEBPB
HRAS	FOS
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	ELK1
ELK1	EGR1
MAPK1	MYC
TP53	TP73
TP53	CDKN1A
NFKB1	CCL5
MAPK12	IL8
CREB3	PCNA
NFKB1	TNF
CREB3L1	PCNA
CREBBP	SERPINE1
CREBBP	VEGFB
EP300	SERPINE1
EP300	VEGFB
HIF1A	SERPINE1
SMAD2	CTGF
CREB3L1	MITF
MAPK3	CDK4
FOXO3	PCK1
PPARA	FADS2
RXRA	CPT1B
RXRA	ACADM
RXRA	PLTP
RXRB	ACSBG1
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DQA1
MAPK9	IL18
RFXAP	LOC100507714
MYB	TSC22D3
MYBL1	TSC22D3
USF1	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
TAL1	NFKB1
ATF1	PPP2R4
ATF2	PTGS2
SP1	RELA
PPARA	SERPINE1
USF2	SP1
JUN	TFRC
FOS	TIMP1
ERG	TNNC1
HIF1A	TP53
HIF1A	VHL
