DRD2	GNAI1
GNAI1	MAPK1
MAPK1	CREB1
GNAI1	HRAS
HRAS	JUN
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
SMAD2	SP1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
CALM1	CAMK2A
CAMK2A	CREB1
CALM1	HRAS
CREBBP	SP1
CALM2	CAMK2A
CALM2	HRAS
CALM3	CAMK2A
CALM3	HRAS
CREB3L3	NPY
GLI3	BMP4
GLI3	WNT3
GLI3	WNT6
SMAD3	MYC
CREBBP	HK1
CREB3L1	MITF
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
NFKB1	IL23A
NFYA	HLA-DOB
NFYC	HLA-DMA
MAPK3	IL23A
MAPK11	IL12B
MAPK9	TNF
MAPK10	IL12B
RFX5	LOC100507709
ATF1	BCL2
SP2	CD14
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
SP1	IL2
PPARG	MMP9
FOS	MT1A
TFAP2A	MT1A
SPI1	SCARB2
EGR1	TFPI2
