NR3C2	KRAS
KRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
KRAS	MAPK14
MAPK14	CEBPB
KRAS	RAF1
RAF1	NFKB1
AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
PRKACA	NFKB1
NFKB1	CEBPB
PGR	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK8	IL6
IL6	STAT3
PGR	MAPK14
MAPK8	NFKB1
CYP11B2	HSD11B1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	MAPK14
PRKCA	RAF1
SRD5A1	AKR1C2
AKR1C2	CHRNA7
SRD5A1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
SRD5A2	AKR1C2
SRD5A2	UGT2B11
SRD5A3	AKR1C2
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	RAF1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CACNA1C	INS
INS	KIT
KIT	STAT3
CALML6	HRAS
INS	MAPK1
MAPK1	NFKB1
CACNA1D	CALML6
CACNA1D	INS
CACNA1F	RASGRP3
CACNA1S	RASGRP3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
CACNA1A	PRKCA
PRKCA	MAPK1
CACNA1G	CALML6
CACNA1G	INS
CACNA1H	CALML6
CACNA1H	NOS1
NOS1	MAPK1
CACNA1I	CALML6
CACNA1I	NOS1
SOS1	SPRY3
RXRG	EHHADH
RFXAP	LOC100509457
RFXAP	HLA-DMA
USF2	ABCA1
