HTR4	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
GNAS	SRC
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
HTR2A	GNAQ
GNAQ	HRAS
HRAS	PLCE1
PLCE1	PRKACA
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
HRAS	PIK3R5
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
CREB3L3	ARC
RELA	BIRC3
GLI1	WNT8A
ETS1	FIGF
ETS1	MMP2
FOS	PGF
FOS	VEGFB
IRF1	IL12B
CREB1	MCL1
CREB3L2	BCL2
CREB3L1	MCL1
PPARA	APOC3
PPARA	ME1
PPARD	ANGPTL4
PPARD	UCP1
PPARG	ANGPTL4
PPARG	SCD
RXRA	FABP1
RXRA	ACSL3
JUN	IVL
PGR	KLK3
PPARG	LIPA
