XDH	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	MAPK1
MAPK1	JUN
CREBBP	SP1
MAPK1	ESR1
PRKACA	NFKB1
PRKACA	CREB1
NFKB1	TP53
PRKACA	XBP1
XBP1	CEBPA
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
PRKACA	CREM
MAPK1	ETS1
MAPK1	ELK1
ELK1	EGR1
STAT4	SOCS3
CREB1	MITF
CREB3L1	MITF
EPAS1	SLC2A1
EPAS1	TGFB1
FOS	PGF
NFKB2	TRAF6
RELA	NOS2
CREB3L2	BCL2
PPARA	EHHADH
PPARA	ACSL3
PPARD	ANGPTL4
PPARG	ACSL3
PPARG	ACSL6
RXRA	FABP1
RXRB	PCK1
RXRB	PLIN1
RXRG	ACSL6
RXRG	HMGCS2
RXRG	AQP7
RXRG	OLR1
RXRG	PLIN1
RXRG	UCP1
JUN	IL6
JUN	CCL3
NFKB1	IL12B
RELA	IL12B
SPI1	ITGAM
CREB1	LOC101060835
NFAT5	PTGS2
PPARG	SAT1
CREB1	CCND1
STAT3	CSRP1
MYC	CSTB
RELA	CTSB
TFAP2C	ESR1
PAX5	FCER2
CEBPA	FN1
ETS1	FOSL1
ETS2	FOSL1
RARA	GADD45A
