SMO	STK36
STK36	GLI1
GLI1	BMP2
BMP2	ACVR1
ACVR1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
ACVR1	MAPK14
MAPK14	NFATC1
MAPK14	NFATC3
GLI1	WNT16
WNT16	FZD10
FZD10	PLCB1
PLCB1	PPP3CA
PPP3CA	NFATC4
MAPK14	CEBPB
FZD10	CTNNB1
CTNNB1	CREBBP
CREBBP	RXRA
RXRA	PPARG
MAPK1	CREB1
PLCB1	PRKCQ
PRKCQ	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	ATF2
NFKB1	NFKB2
PLCB1	CAMK2A
CAMK2A	ATF1
MAPK1	ATF4
RXRA	RARB
CREBBP	RXRB
CREBBP	RXRG
CTNNB1	LEF1
LEF1	PPARD
PLCB1	PRKCA
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	JUN
CREBBP	HIF1A
MAPK1	TP53
MAPK1	ETS1
EP300	ALDOA
STAT4	SOCS5
STAT5B	SOCS3
PAX6	INS
TP53	SESN1
HIF1A	TGFB1
NFKB2	TRAF6
CREB1	BCL2
PPARA	EHHADH
PPARA	ACOX1
PPARG	ACSL3
PPARG	UCP1
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DRA
CREB1	HLA-DRB1
CREB1	HLA-DRB3
MYD88	IFNA7
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100509457
ATF2	CGA
CREB1	CYP11A1
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
E2F4	DHFR
CEBPA	TK1
