HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
HRAS	JUN
HRAS	FOS
MAPK1	ETS1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
MAPK1	STAT1
MAPK1	STAT3
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	HRAS
DRD2	PPP2CA
PPP2CA	STAT1
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
GRIA2	LYN
LYN	PRKCA
PRKCA	CREB1
GRIA2	GRIN1
GRIN1	CALML6
CALML6	HRAS
PRKCA	FOS
GRIN1	NOS1
NOS1	MAPK1
CALML6	CAMK2A
CREBBP	SP1
CAMK2A	STAT1
LYN	PIK3R5
GRIA3	LYN
GRIA3	GRIN1
NPAS2	BHLHE41
TCF7L2	BIRC5
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
RELA	CCL4
RELB	CXCL12
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CEBPA	PCK2
SP1	PLAU
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
