TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK8	TP53
MAPK8	JUN
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
SMAD3	E2F4
MAPK8	ATF2
AKT3	CREB3
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
RAF1	MAPK1
MAPK1	MYC
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
ATF2	ATF1
RAF1	NFKB1
MAPK1	ETS1
RAF1	RELA
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
NFKB1	NFKB2
MAPK8	FOS
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
STAT5B	SOCS4
PAX6	PDX1
PIK3R2	AKT1
EPAS1	VEGFC
FOS	FIGF
IRF8	IL12A
CREB1	BCL2
ATF4	MCL1
PPARA	APOA1
PPARA	ACOX1
PPARD	FABP3
PPARG	OLR1
PPARG	UCP1
RXRA	CYP8B1
NFYA	LOC100507714
NFYA	LOC100509457
MAPK3	NOS2
MAPK3	IL23A
MAPK9	IL1A
MAPK9	NOS2
MAPK12	IL1A
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CDKN1C
CREB1	ADRB2
SP3	CCND1
TP53	CCND1
USF1	CCND1
PPARG	CDKN1A
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF2	CTSB
SP1	CTSL
SP3	CTSL
SP1	DKC1
ETS1	DNTT
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
