CES1	UGT2B11
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	STAT3
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
NFKB1	CEBPB
MAPK1	TP53
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
AKT3	RELA
OGT	PIK3R5
PIK3R5	HIF1A
MAPK1	STAT1
AKT3	JUN
OGT	CRTC2
CRTC2	CREBBP
CREBBP	SP1
OGT	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
PRKCA	CREB1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
CRTC2	EP300
HIF1A	ARNT
MAPK1	ETS1
AKT3	IRF3
STAT3	PIM1
RELA	BIRC8
GLI1	WNT7A
GLI2	BMP2
GLI3	WNT4
MAPK11	CXCL1
RBPJL	CR2
ELK1	BIRC2
CREB3L4	PCNA
RELA	MMP9
CREBBP	EPO
CREBBP	PGF
EP300	EPO
EP300	PGF
HIF1A	EPO
TEAD1	BIRC2
CREB1	MITF
RELA	TRAF2
PIK3CG	AKT3
RXRA	ACSBG2
RXRA	ACOX2
RXRB	ACADM
RXRB	APOC3
RXRB	OLR1
RXRG	ACSL4
RXRG	APOC3
RXRG	PDPK1
IRF7	IFNA21
JUN	CCL4L1
CEBPA	PER2
NFYB	HLA-DPA1
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MYB	TSC22D3
MYBL1	TSC22D3
E2F4	CDC45
NFIC	HSPA1A
SP1	JUN
PPARA	LIPA
RARA	MIF
ERG	MMP9
ETS1	PPP2R4
ATF4	PTGS2
ESR1	PTMA
RARA	S100A9
ETS1	SLC26A3
NFIC	STMN1
HOXA5	TH
E2F4	TK1
SP3	TNNC1
WT1	TP53
