HTR4	GNAS
GNAS	SRC
SRC	PIK3R5
PIK3R5	HIF1A
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
SRC	RAC1
RAC1	RELA
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
SRC	STAT3
STAT3	FOXO3
STAT3	ESR1
ESR1	SP1
RAC1	NFKB1
MAPK1	ELK1
ELK1	EGR1
SRC	HRAS
HRAS	JUN
HTR2A	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
HRAS	MAPK1
HRAS	RAF1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
MAPK1	FOXO3
MAPK1	SMAD2
SMAD2	SP1
RAF1	NFKB1
MAPK11	IL8
RBPJL	FCER2
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
RBPJ	HES5
TP53	BAX
NFKB1	FIGF
RELA	PGF
RXRB	ACAA1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
SP1	CCND1
ETS1	CSNK2A1
STAT1	EGFR
AR	F9
NFKB1	FBP1
PPARG	GADD45B
CREB1	GH2
NFKB1	PPP2R4
CEBPB	PTGS2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
