SMO	STK36
STK36	GLI1
GLI1	BMP2
BMP2	ACVR1
ACVR1	MAPK1
MAPK1	ETS1
ACVR1	MAPK14
MAPK14	CEBPB
GLI1	WNT16
WNT16	FZD10
FZD10	CTNNB1
CTNNB1	CREBBP
CREBBP	RXRA
RXRA	PPARG
CREBBP	HIF1A
CREBBP	PPARGC1A
PPARGC1A	PPARA
CREBBP	RXRB
CREBBP	RXRG
CTNNB1	EP300
CREBBP	ARNT
ACVR1	SMAD2
SMAD2	SP1
MAPK1	JUN
MAPK1	NFKB1
FZD10	PLCB1
PLCB1	PRKCA
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
CTNNB1	LEF1
LEF1	PPARD
TP53	GADD45G
ELK1	CCND1
FOS	MMP9
CREB3L2	PCNA
CREBBP	GAPDH
CREBBP	SLC2A1
EP300	GAPDH
EP300	SLC2A1
HIF1A	GAPDH
EPAS1	TGFB1
ETS1	VEGFA
AR	KLK3
MYC	CDK4
NFKB1	NOS2
RELA	NOS2
FOXO3	G6PC
PPARA	ACSL3
PPARA	ACOX2
PPARG	ACSL6
RXRA	CPT1C
NFYA	LOC100507714
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
SP1	CAV1
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
CREB1	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
SP1	CYP17A1
SP3	CYP17A1
BCL3	NFKB2
USF2	PTPN6
NFKB1	SAA2
SP1	SOD1
CREB1	TF
USF1	THBS1
CEBPB	TNF
E2F4	TOP1
FOS	TSHB
