AQP1	PTGER2
PTGER2	GNAS
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
SRC	PIK3R5
PIK3R5	HIF1A
SRC	STAT3
STAT3	ESR1
ESR1	SP1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
PRKACA	XBP1
XBP1	CEBPA
GNB5	MAPK3
SRC	HRAS
HRAS	JUN
PIK3R5	AKT3
AKT3	IRF3
STAT3	STAT1
PRKACA	CREB1
GNB5	MAPK14
GNB5	MAPK11
GNB5	MAPK13
GNB5	MAPK8
GNB5	MAPK9
GNB5	MAPK10
PRKACA	ATF2
PRKACA	ATF4
PIK3R5	MTOR
MTOR	PPARG
ARNTL	NR1D1
CREBBP	TFRC
CREBBP	MITF
RBPJ	HES1
RBPJ	HES5
TP53	BAI1
TP53	BAX
STAT3	VEGFA
EPAS1	PGF
EPAS1	VEGFB
ETS1	CDK4
JUN	PGF
NFKB2	XIAP
NFKB2	TRAF3
PIAS2	CDKN2B
IRF8	IL12B
CREB5	MCL1
PPARA	CYP8B1
PPARA	HMGCS2
PPARA	APOA2
PPARD	ACOX3
PPARG	FABP4
PPARG	MMP1
PPARG	PCK1
RXRA	ACSBG2
RXRA	ACOX3
RXRB	ACADM
RXRB	ILK
RXRB	ACOX3
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
SMAD5	ID4
FOS	IL12B
IRF3	CXCL10
IRF5	IL12A
IRF7	IFNA4
IRF7	IFNA14
NFYA	HLA-DQB1
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DPA1
NFYC	HLA-DMB
NFYC	HLA-DOA
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
FOS	NTS
CREB1	TIMP1
