HTR4	GNAS
GNAS	SRC
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SRC	STAT3
GNAS	GNB5
GNB5	MAPK14
MAPK14	CEBPB
SRC	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
HTR2A	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
HRAS	MAPK1
MAPK1	STAT3
HRAS	MAPK14
MAPK1	SMAD4
SMAD4	LEF1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	TGFB1
CREB1	MCL1
CREB1	BCL2
PPARA	ME1
PPARA	ACOX1
PPARG	SCD
PPARG	UCP1
RFXAP	LOC100509457
RFXAP	HLA-DMA
ETS1	VWF
ETS2	VWF
NFIC	VWF
