HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	JUN
HRAS	MAPK3
MAPK1	MYC
HRAS	FOS
MAPK1	ETS1
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	CREB1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
HRAS	MAPK8
MAPK8	JUND
HIF1A	ARNT
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	CREM
PRKACA	PSEN1
PSEN1	ATF6
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	HRAS
GNAI1	MAPK3
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
MAPK1	NFKB1
MAPK1	RELA
GNAI1	MAPK8
GNAI1	RAPGEF3
RAPGEF3	PRKACA
ATF6B	FOS
ATF4	FOS
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
HIF1A	PFKFB4
HIF1A	PFKL
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
PAX6	GCK
MITF	TYRP1
TCF7L1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	SESN3
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
MAPK3	IL18
RFX5	LOC100507709
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB3L4	AQP2
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
TFAP2A	HMOX1
ATF2	INS
SP1	ITGA2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
ETS1	VWF
ETS2	VWF
