HTR4	GNAS
GNAS	SRC
SRC	PIK3R5
PIK3R5	HIF1A
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	ESR1
ESR1	SP1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
STAT3	STAT1
GNB5	MAPK8
MAPK8	JUND
MAPK1	SMAD3
MAPK1	SMAD4
HRAS	FOS
MAPK8	JUNB
PIK3R5	AKT3
AKT3	CHUK
CHUK	IRF7
STAT1	MYD88
SRC	RAC1
RAC1	RELA
RAC1	NFKB1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
MAPK1	STAT3
MAPK1	STAT1
HRAS	MAPK8
HRAS	MAP3K1
MAP3K1	CHUK
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
ATF6B	ARC
ATF4	ARC
ATF2	PCNA
MAPK8	JUN
CREBBP	EDN1
CREBBP	ANGPT4
EP300	EDN1
EP300	ANGPT4
HIF1A	EDN1
HIF1A	ANGPT4
RXRB	DBI
RXRB	ACSL3
RXRG	CPT1A
RXRG	CYP27A1
CREB1	ERBB2
ELK1	ERBB2
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TP53	IL8
CEBPA	ITGA2
RELA	S100A6
PPARD	SERPINE1
JUN	SPP1
ATF1	TG
SMAD4	TIMP1
ETS1	TNNC1
PAX5	TP53
PAX1	VHL
