PTGS2	ADCY5
ADCY5	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	MAPK1
MAPK1	MYC
MYC	ZBTB17
RAPGEF3	MAPK14
MAPK14	MAX
MAX	PIAS2
MAPK8	TP53
MAPK8	SMAD3
PRKACA	CREB1
PRKACA	EP300
MAPK8	SMAD4
MAPK1	SMAD2
PRKACA	NFKB1
MAPK14	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
NFKB1	HIF1A
MAPK1	ETS1
PRKACA	RELA
MAPK1	STAT1
CREBBP	ARNT
PDPK1	AKT3
AKT3	CREB3
CREB3	CREBBP
AKT3	JUN
AKT3	GSK3B
GSK3B	MYC
MYC	PIAS2
AKT3	NFKB1
NFKB1	TP53
PDPK1	PRKCA
PRKCA	MAPK1
MAPK1	SMAD3
AKT3	CREB1
CREB3	EP300
MAPK1	SMAD4
NFKB1	CEBPB
AKT3	MTOR
MTOR	HIF1A
AKT3	RELA
HIF1A	ARNT
NFKB1	SOCS3
PPARA	CPT1A
CREB5	BDNF
CREB3L4	PDYN
CREB3L2	PDYN
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
ATF6B	PCNA
CREBBP	ENO2
EP300	ENO2
HIF1A	ENO2
TEAD1	AXIN1
MITF	TYRP1
CREB3L1	MITF
PIK3CB	AKT1
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRB	OLR1
RXRG	ACSL4
RXRG	APOC3
RXRG	PDPK1
IRF7	IFNA21
JUN	CCL4L1
CEBPA	PER2
MAPK11	IL12B
MYB	TSC22D3
MYBL1	TSC22D3
USF2	CALCA
E2F4	CAV1
USF1	CTSB
ETS1	FOSL1
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
JUN	ICAM1
REL	ICAM1
CEBPB	IL4
STAT4	IRF1
CEBPA	IVL
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
PPARG	MMP9
RARB	S100A8
POU2F2	SPP1
STAT3	TIMP1
TP53	TP53
