HTR4	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
GNAS	SRC
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	CREB1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	PLCE1
PLCE1	PRKACA
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
HRAS	PIK3R5
HRAS	MAPK1
MAPK1	CREB1
PML	JUP
PML	CCNA1
RARA	JUP
RARA	CCNA1
ZBTB16	JUP
ZBTB16	CCNA1
RUNX1	JUP
RUNX1T1	JUP
NR3C2	ATP1A4
STAT3	VEGFC
EPAS1	VEGFB
NFKB2	BCL2
PIAS2	CDKN2B
PPARA	APOA5
PPARA	HMGCS2
PPARG	CPT1C
PPARG	MMP1
ETS1	HPGD
ETV4	HPGD
NFIC	HRAS
SP1	HRAS
CEBPA	ICAM1
CEBPB	ICAM1
CREB1	ICAM1
CREM	ICAM1
ETS2	IL5
