AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	PIK3R5
PIK3R5	HIF1A
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	ETS1
MAPK1	SMAD4
HRAS	JUN
HRAS	FOS
MAPK1	SMAD2
SMAD2	SP1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
JUN	CCND3
IRF7	IFNB1
CREB3L3	PCNA
CREBBP	ANGPT2
CREBBP	TIMP1
EP300	ANGPT2
LEF1	MITF
RELA	BCL2A1
RELB	CCL21
PIK3CD	AKT1
MYC	VEGFB
NFKB1	NOS2
FOXO3	BCL2L11
FOXO3	G6PC
PPARA	SCD5
PPARA	ACOX2
RXRA	SLC27A4
RXRA	CPT1C
NFYA	LOC100507714
NFYB	HLA-DPA1
TCF7L1	JUN
MYC	CCNB1
POU2F2	HLA-DRA
ATF2	HLA-E
EGR1	RELA
SPI1	SCARB1
SMAD2	SP1
JUN	TFF1
ETS1	TIMP1
EGR1	TNF
