KCNMA1	CACNA1C
CACNA1C	INS
INS	KIT
KIT	STAT3
CACNA1C	CALML6
CALML6	HRAS
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
CALML6	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
INS	NR1H3
NR1H3	RXRA
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRB
CREBBP	RXRG
INS	MAPK1
MAPK1	NFKB1
MAPK1	RELA
CAMK2A	CREB1
CAMK2A	ATF2
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
HRAS	JUN
CREBBP	SP1
MAPK1	ELK1
ELK1	EGR1
NR3C2	ATP1A2
NR3C2	ATP1B1
CREB5	PDYN
NFKB1	BIRC2
NFKB1	BIRC7
GLI1	HHIP
GLI1	BMP4
GLI1	WNT6
GLI1	WNT5B
GLI1	WNT3A
GLI2	HHIP
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
FOXO1	FBP2
RBPJ	HES5
TP53	BAX
STAT3	VEGFC
EPAS1	FIGF
EPAS1	VEGFB
NFKB2	BCL2
NFKB2	BCL2L1
PIAS2	CDKN2B
PPARA	APOA5
PPARA	CPT2
PPARA	HMGCS2
PPARG	CPT1C
PPARG	CPT1A
PPARG	MMP1
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
NFIC	C4BPB
USF1	CALCA
CEBPB	IL5
JUN	IL5
ESR1	JUN
ETS2	JUN
SMAD4	JUN
SP3	LCAT
ATF1	LDHA
SP3	LHB
NFKB1	MAT2A
SP2	MAT2A
JUN	MGP
ETS1	VWF
ETS2	VWF
NFIC	VWF
