HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
GNAS	SRC
SRC	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
SRC	STAT3
STAT3	CCND1
CCND1	RB1
RB1	TFDP2
GNAS	GNB5
GNB5	MAPK1
MAPK1	SMAD2
SMAD2	TFDP1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SRC	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
RB1	E2F1
MAPK1	TP53
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
PIK3R5	HIF1A
STAT3	ESR1
ESR1	SP1
MAPK1	SMAD4
NFKB1	NFKB2
ATF6B	FOS
CREB3L4	FOS
ATF4	FOS
CREB3L2	FOS
GLI2	WNT6
GLI2	PTCH2
GLI3	GLI1
HIF1A	PFKFB4
HIF1A	PFKL
ARNT	PFKL
MAPK1	CCND1
MAPK3	CCND1
TP53	SESN3
TP53	CD82
EPAS1	TGFB1
EPAS1	TGFB2
ETS1	MMP1
MYC	CDK4
MYC	CKS1B
MYC	VEGFA
RELA	NOS2
RELA	CCND1
CREB3	BCL2
CREB3L4	MCL1
PPARA	ACSL3
PPARA	ACSL4
PPARA	LPL
PPARA	SCP2
PPARG	ACSL6
PPARG	GK
PPARG	PLIN1
RXRA	NR1H3
NFYC	LOC101060835
MAPK3	IL18
MAPK8	IL1B
MAPK8	IL12A
MAPK8	IL12B
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CD14
ATF2	INS
STAT3	IRF1
SP1	ITGA2
SPI1	ITGB2
ETV4	MMP2
JUN	MMP3
RELA	MMP3
ETS1	VWF
ETS2	VWF
